;TransportID;ContainerID;ContainerType;Forwarder;TruckingTimeStart;GroundHandler1;Airport1;GroundHandler2;Airport2;GroundHandler3;Airport3;GroundHandler4;Airport4;GroundHandler5;Airport5;TruckingTimeEnd;full_timestamp_flag
0;5559;000-10081;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
1;5560;000-10081;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
2;5561;000-10080;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
3;5562;000-10080;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
4;5563;000-10083;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
5;5564;000-10083;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
6;5565;000-10082;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
7;5566;000-10082;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
8;5567;000-10499;770C;;2014-01-20 00:00:00;;;;;;;;;;;2014-01-20 00:00:00;False
9;5568;000-10088;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
10;5569;000-10088;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
11;5570;000-10085;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
12;5571;000-10085;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
13;5572;000-10084;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
14;5573;000-10084;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
15;5574;000-10087;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
16;5575;000-10087;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
17;5576;000-10490;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
18;5577;000-10495;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
19;5578;000-10496;770C;;2014-01-20 00:00:00;;;;;;;;;;;2014-01-20 00:00:00;False
20;5579;000-10497;770C;;2014-01-20 00:00:00;;;;;;;;;;;2014-01-20 00:00:00;False
21;5580;000-10498;770C;;2014-01-20 00:00:00;;;;;;;;;;;2014-01-20 00:00:00;False
22;5581;000-10491;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
23;5582;000-10492;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
24;5583;000-10493;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
25;5584;000-10494;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
26;5585;000-10094;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
27;5586;000-10094;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
28;5587;000-10093;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
29;5588;000-10093;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
30;5589;000-10092;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
31;5590;000-10092;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
32;5591;000-10091;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
33;5592;000-10091;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
34;5593;000-10090;770C;;2013-07-24 00:00:00;;;;;;;;;;;2013-07-24 00:00:00;False
35;5594;000-10090;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
36;5595;000-10489;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
37;5596;000-10488;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
38;5597;000-10099;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
39;5598;000-10099;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
40;5599;000-10098;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
41;5600;000-10098;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
42;5601;000-10097;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
43;5602;000-10097;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
44;5603;000-10096;770C;;2013-07-29 00:00:00;;;;;;;;;;;2013-07-29 00:00:00;False
45;5604;000-10096;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
46;5605;000-10486;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
47;5606;000-10487;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
48;5607;000-10484;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
49;5608;000-10485;770C;;2014-01-17 00:00:00;;;;;;;;;;;2014-01-17 00:00:00;False
50;5609;000-10482;770C;;2014-01-15 00:00:00;;;;;;;;;;;2014-01-15 00:00:00;False
51;5610;000-10483;770C;;2014-01-15 00:00:00;;;;;;;;;;;2014-01-15 00:00:00;False
