Transport ID;Container ID;Container Type;Forwarder;Trucking Time Start;Ground Handler 1;Airport 1;Ground Handler 2;Airport 2;Ground Handler 3;Airport 3;Ground Handler 4;Airport 4;Ground Handler 5;Airport 5;Trucking Time End
5559;000-10081;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5560;000-10081;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5561;000-10080;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5562;000-10080;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5563;000-10083;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5564;000-10083;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5565;000-10082;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5566;000-10082;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5567;000-10499;770C;;20.01.2014;;;;; ##; ##; ##; ##; ##; ##;20.01.2014
5568;000-10088;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5569;000-10088;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5570;000-10085;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5571;000-10085;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5572;000-10084;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5573;000-10084;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5574;000-10087;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
5575;000-10087;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5576;000-10490;770C;;17.01.2014;;;;; ##; ##; ##; ##; ##; ##;17.01.2014
5577;000-10495;770C;;17.01.2014;;;;; ##; ##; ##; ##; ##; ##;17.01.2014
5578;000-10496;770C;;20.01.2014;;;;; ##; ##; ##; ##; ##; ##;20.01.2014
5579;000-10497;770C;;20.01.2014;;;;; ##; ##; ##; ##; ##; ##;20.01.2014
